Date,Mode,Forecast,Lower CI,Upper CI
2023-07-27,Local Route,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,Local Route,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,Local Route,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,Local Route,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,Local Route,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,Local Route,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,Local Route,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,Local Route,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,Local Route,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,Local Route,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,Local Route,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,Local Route,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,Local Route,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,Local Route,24.014646392901735,-90.23134275814513,138.2606355439486
2023-07-27,Light Rail,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,Light Rail,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,Light Rail,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,Light Rail,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,Light Rail,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,Light Rail,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,Light Rail,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,Light Rail,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,Light Rail,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,Light Rail,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,Light Rail,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,Light Rail,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,Light Rail,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,Light Rail,24.014646392901735,-90.23134275814513,138.2606355439486
2023-07-27,Peak Service,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,Peak Service,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,Peak Service,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,Peak Service,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,Peak Service,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,Peak Service,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,Peak Service,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,Peak Service,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,Peak Service,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,Peak Service,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,Peak Service,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,Peak Service,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,Peak Service,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,Peak Service,24.014646392901735,-90.23134275814513,138.2606355439486
2023-07-27,Rapid Route,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,Rapid Route,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,Rapid Route,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,Rapid Route,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,Rapid Route,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,Rapid Route,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,Rapid Route,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,Rapid Route,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,Rapid Route,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,Rapid Route,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,Rapid Route,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,Rapid Route,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,Rapid Route,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,Rapid Route,24.014646392901735,-90.23134275814513,138.2606355439486
2023-07-27,School,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,School,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,School,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,School,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,School,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,School,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,School,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,School,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,School,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,School,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,School,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,School,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,School,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,School,24.014646392901735,-90.23134275814513,138.2606355439486
2023-07-27,Other,26.595873622698697,-75.89380898253359,129.085556227931
2023-07-28,Other,13.790452989547472,-88.69922961568481,116.28013559477976
2023-07-29,Other,32.50606776107618,-69.98361484415611,134.99575036630847
2023-07-30,Other,55.65432813638801,-46.83535446884428,158.1440107416203
2023-07-31,Other,12.312904454953099,-90.17677815027919,114.80258706018539
2023-08-01,Other,9.357807385764357,-93.13187521946793,111.84748999099665
2023-08-02,Other,48.75910164161427,-53.73058096361802,151.24878424684655
2023-08-03,Other,13.098898032491856,-101.14709111855501,127.34488718353873
2023-08-04,Other,6.792021202032815,-107.45396794901406,121.03801035307968
2023-08-05,Other,16.00976426193449,-98.23622488911238,130.25575341298136
2023-08-06,Other,27.410656993918142,-86.83533215712873,141.656646144965
2023-08-07,Other,6.064304644672156,-108.18168450637472,120.31029379571902
2023-08-08,Other,4.6088715299508385,-109.63711762109604,118.8548606809977
2023-08-09,Other,24.014646392901735,-90.23134275814513,138.2606355439486
