Date,Mode,Forecast,Lower CI,Upper CI
2024-09-30,Local Route,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,Local Route,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,Local Route,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,Local Route,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,Local Route,12.3129044549531,-90.1767781502792,114.8025870601854
2024-10-05,Local Route,9.357807385764357,-93.13187521946791,111.84748999099664
2024-10-06,Local Route,48.75910164161427,-53.73058096361802,151.24878424684655
2024-10-07,Local Route,13.098898032491856,-101.147091118555,127.34488718353872
2024-10-08,Local Route,6.792021202032815,-107.45396794901406,121.03801035307968
2024-10-09,Local Route,16.00976426193449,-98.23622488911238,130.25575341298136
2024-10-10,Local Route,27.410656993918145,-86.83533215712873,141.656646144965
2024-10-11,Local Route,6.064304644672156,-108.18168450637472,120.31029379571902
2024-10-12,Local Route,4.608871529950839,-109.63711762109604,118.8548606809977
2024-10-13,Local Route,24.01464639290173,-90.23134275814512,138.2606355439486
2024-09-30,Light Rail,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,Light Rail,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,Light Rail,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,Light Rail,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,Light Rail,12.3129044549531,-90.1767781502792,114.8025870601854
2024-10-05,Light Rail,9.357807385764357,-93.13187521946791,111.84748999099664
2024-10-06,Light Rail,48.75910164161427,-53.73058096361802,151.24878424684655
2024-10-07,Light Rail,13.098898032491856,-101.147091118555,127.34488718353872
2024-10-08,Light Rail,6.792021202032815,-107.45396794901406,121.03801035307968
2024-10-09,Light Rail,16.00976426193449,-98.23622488911238,130.25575341298136
2024-10-10,Light Rail,27.410656993918145,-86.83533215712873,141.656646144965
2024-10-11,Light Rail,6.064304644672156,-108.18168450637472,120.31029379571902
2024-10-12,Light Rail,4.608871529950839,-109.63711762109604,118.8548606809977
2024-10-13,Light Rail,24.01464639290173,-90.23134275814512,138.2606355439486
2024-09-30,Peak Service,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,Peak Service,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,Peak Service,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,Peak Service,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,Peak Service,12.3129044549531,-90.1767781502792,114.8025870601854
2024-10-05,Peak Service,9.357807385764357,-93.13187521946791,111.84748999099664
2024-10-06,Peak Service,48.75910164161427,-53.73058096361802,151.24878424684655
2024-10-07,Peak Service,13.098898032491856,-101.147091118555,127.34488718353872
2024-10-08,Peak Service,6.792021202032815,-107.45396794901406,121.03801035307968
2024-10-09,Peak Service,16.00976426193449,-98.23622488911238,130.25575341298136
2024-10-10,Peak Service,27.410656993918145,-86.83533215712873,141.656646144965
2024-10-11,Peak Service,6.064304644672156,-108.18168450637472,120.31029379571902
2024-10-12,Peak Service,4.608871529950839,-109.63711762109604,118.8548606809977
2024-10-13,Peak Service,24.01464639290173,-90.23134275814512,138.2606355439486
2024-09-30,Rapid Route,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,Rapid Route,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,Rapid Route,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,Rapid Route,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,Rapid Route,12.3129044549531,-90.1767781502792,114.8025870601854
2024-10-05,Rapid Route,9.357807385764357,-93.13187521946791,111.84748999099664
2024-10-06,Rapid Route,48.75910164161427,-53.73058096361802,151.24878424684655
2024-10-07,Rapid Route,13.098898032491856,-101.147091118555,127.34488718353872
2024-10-08,Rapid Route,6.792021202032815,-107.45396794901406,121.03801035307968
2024-10-09,Rapid Route,16.00976426193449,-98.23622488911238,130.25575341298136
2024-10-10,Rapid Route,27.410656993918145,-86.83533215712873,141.656646144965
2024-10-11,Rapid Route,6.064304644672156,-108.18168450637472,120.31029379571902
2024-10-12,Rapid Route,4.608871529950839,-109.63711762109604,118.8548606809977
2024-10-13,Rapid Route,24.01464639290173,-90.23134275814512,138.2606355439486
2024-09-30,School,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,School,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,School,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,School,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,School,12.3129044549531,-90.1767781502792,114.8025870601854
2024-10-05,School,9.357807385764357,-93.13187521946791,111.84748999099664
2024-10-06,School,48.75910164161427,-53.73058096361802,151.24878424684655
2024-10-07,School,13.098898032491856,-101.147091118555,127.34488718353872
2024-10-08,School,6.792021202032815,-107.45396794901406,121.03801035307968
2024-10-09,School,16.00976426193449,-98.23622488911238,130.25575341298136
2024-10-10,School,27.410656993918145,-86.83533215712873,141.656646144965
2024-10-11,School,6.064304644672156,-108.18168450637472,120.31029379571902
2024-10-12,School,4.608871529950839,-109.63711762109604,118.8548606809977
2024-10-13,School,24.01464639290173,-90.23134275814512,138.2606355439486
2024-09-30,Other,26.595873622698697,-75.89380898253359,129.085556227931
2024-10-01,Other,13.790452989547472,-88.69922961568481,116.28013559477976
2024-10-02,Other,32.50606776107618,-69.98361484415611,134.99575036630847
2024-10-03,Other,55.65432813638801,-46.83535446884428,158.1440107416203
2024-10-04,Other,12.3129044549531,-90.1767781502792,114.8025870601854
